transaction_id,sender_id,receiver_id,amount,timestamp
# Simple background traffic (legitimate random)
TX_BG_001,ACC_BG_1,ACC_BG_2,150.00,2025-01-01 09:00:00
TX_BG_002,ACC_BG_2,ACC_BG_3,200.00,2025-01-01 10:00:00

# Cycle of length 3: ACC_C1 -> ACC_C2 -> ACC_C3 -> ACC_C1
TX_CYC3_1,ACC_C1,ACC_C2,1000.00,2025-01-02 09:00:00
TX_CYC3_2,ACC_C2,ACC_C3,980.00,2025-01-02 10:00:00
TX_CYC3_3,ACC_C3,ACC_C1,990.00,2025-01-02 11:00:00

# Cycle of length 4: ACC_C4 -> ACC_C5 -> ACC_C6 -> ACC_C7 -> ACC_C4
TX_CYC4_1,ACC_C4,ACC_C5,500.00,2025-01-03 09:00:00
TX_CYC4_2,ACC_C5,ACC_C6,510.00,2025-01-03 10:00:00
TX_CYC4_3,ACC_C6,ACC_C7,495.00,2025-01-03 11:00:00
TX_CYC4_4,ACC_C7,ACC_C4,505.00,2025-01-03 12:00:00

# Fan-in smurfing: 10 senders -> ACC_FANIN within 72h
TX_FI_001,ACC_FI_1,ACC_FANIN,50.00,2025-01-04 09:00:00
TX_FI_002,ACC_FI_2,ACC_FANIN,55.00,2025-01-04 09:10:00
TX_FI_003,ACC_FI_3,ACC_FANIN,60.00,2025-01-04 09:20:00
TX_FI_004,ACC_FI_4,ACC_FANIN,65.00,2025-01-04 09:30:00
TX_FI_005,ACC_FI_5,ACC_FANIN,70.00,2025-01-04 09:40:00
TX_FI_006,ACC_FI_6,ACC_FANIN,75.00,2025-01-04 09:50:00
TX_FI_007,ACC_FI_7,ACC_FANIN,80.00,2025-01-04 10:00:00
TX_FI_008,ACC_FI_8,ACC_FANIN,85.00,2025-01-04 10:10:00
TX_FI_009,ACC_FI_9,ACC_FANIN,90.00,2025-01-04 10:20:00
TX_FI_010,ACC_FI_10,ACC_FANIN,95.00,2025-01-04 10:30:00

# Fan-out smurfing: ACC_FANOUT -> 10 receivers within 72h
TX_FO_001,ACC_FANOUT,ACC_FO_1,40.00,2025-01-05 09:00:00
TX_FO_002,ACC_FANOUT,ACC_FO_2,42.00,2025-01-05 09:10:00
TX_FO_003,ACC_FANOUT,ACC_FO_3,44.00,2025-01-05 09:20:00
TX_FO_004,ACC_FANOUT,ACC_FO_4,46.00,2025-01-05 09:30:00
TX_FO_005,ACC_FANOUT,ACC_FO_5,48.00,2025-01-05 09:40:00
TX_FO_006,ACC_FANOUT,ACC_FO_6,50.00,2025-01-05 09:50:00
TX_FO_007,ACC_FANOUT,ACC_FO_7,52.00,2025-01-05 10:00:00
TX_FO_008,ACC_FANOUT,ACC_FO_8,54.00,2025-01-05 10:10:00
TX_FO_009,ACC_FANOUT,ACC_FO_9,56.00,2025-01-05 10:20:00
TX_FO_010,ACC_FANOUT,ACC_FO_10,58.00,2025-01-05 10:30:00

# Layered shell chain: SRC -> SHELL1 -> SHELL2 -> DST
TX_SH_001,ACC_SHELL_SRC,ACC_SHELL_1,1000.00,2025-01-06 09:00:00
TX_SH_002,ACC_SHELL_1,ACC_SHELL_2,1000.00,2025-01-06 10:00:00
TX_SH_003,ACC_SHELL_2,ACC_SHELL_DST,1000.00,2025-01-06 11:00:00

# Extra traffic to make SHELL1 and SHELL2 total_tx = 2 each (already 1 in, 1 out)
# No extra edges here so they stay within 2–3 tx bounds.

# Legitimate high-volume merchant / payroll: many small tx, should be down-weighted
TX_MER_001,ACC_CUST_1,ACC_MERCHANT,20.00,2025-01-07 09:00:00
TX_MER_002,ACC_CUST_2,ACC_MERCHANT,22.00,2025-01-07 09:05:00
TX_MER_003,ACC_CUST_3,ACC_MERCHANT,25.00,2025-01-07 09:10:00
TX_MER_004,ACC_CUST_4,ACC_MERCHANT,27.00,2025-01-07 09:15:00
TX_MER_005,ACC_CUST_5,ACC_MERCHANT,30.00,2025-01-07 09:20:00
TX_MER_006,ACC_CUST_6,ACC_MERCHANT,32.00,2025-01-07 09:25:00
TX_MER_007,ACC_CUST_7,ACC_MERCHANT,35.00,2025-01-07 09:30:00
TX_MER_008,ACC_CUST_8,ACC_MERCHANT,37.00,2025-01-07 09:35:00
TX_MER_009,ACC_CUST_9,ACC_MERCHANT,40.00,2025-01-07 09:40:00
TX_MER_010,ACC_CUST_10,ACC_MERCHANT,42.00,2025-01-07 09:45:00
